sku,size_cm,product_weight_g,packaging_type,packaging_weight_g,parcel_total_weight_g,carrier,zone,carrier_cost_eur,laposte_management_fees_eur,us_duties_taxes_eur,packaging_handling_cost_eur,international_overhead_rate,displayed_shipping_price_eur,source_url,source_checked_at,tracking_yn,insurance_yn,delivery_eta,remarques
KH-EDS-001-100,100,45,E2_amazon_23x29,47,92,La Poste Lettre verte suivie ≤100g,France,3.60,0,0,,0,0,https://www.sfpf.fr/actu/tarif-timbre-2026,2026-05-29,oui,non,3 j ouvrés,France gratuite client (marge absorbée produit)
KH-EDS-001-100,100,45,E2_amazon_23x29,47,92,La Poste Lettre Suivie Internationale ≤100g,UE,7.65,0,0,,0.06,,https://www.tarif-lettre.com/tarif-lettre-internationale-2026,2026-05-29,oui partiel,non,4-8 j,Tarif unique monde 2026
KH-EDS-001-100,100,45,E2_amazon_23x29,47,92,Colissimo USA en ligne (PRINCIPAL §1ter),USA,,,,,0.06,,https://www.laposte.fr/,2026-05-29,oui,oui (R+ option),7-15 j,Service prioritaire MVP USA - DDP partiel duties payés upfront expéditeur
KH-EDS-001-100,100,45,E2_amazon_23x29,47,92,Chronopost International USA (fallback §1ter),USA,,0,,,0.06,,https://www.chronopost.fr,2026-05-29,oui,oui,2-5 j,Fallback si Colissimo en ligne inadapté
KH-EDS-001-100,100,45,E2_amazon_23x29,47,92,UPS Worldwide Express Saver (fallback §1ter),USA,,0,,,0.06,,https://www.ups.com,2026-05-29,oui,oui,3-5 j,Fallback si Colissimo en ligne inadapté
KH-EDS-001-100,100,45,E2_amazon_23x29,47,92,DHL Express Worldwide (fallback §1ter),USA,,0,,,0.06,,https://www.dhl.com,2026-05-29,oui,oui,3-5 j,Fallback si Colissimo en ligne inadapté
KH-EDS-001-100,100,45,E2_amazon_23x29,47,92,FedEx International Priority/Economy (fallback §1ter),USA,,0,,,0.06,,https://www.fedex.com,2026-05-29,oui,oui,3-7 j,Fallback si Colissimo en ligne inadapté
KH-KAI-001-075,75,30,E2_amazon_23x29,47,77,La Poste Lettre verte suivie ≤100g,France,3.60,0,0,,0,0,https://www.sfpf.fr/actu/tarif-timbre-2026,2026-05-29,oui,non,3 j ouvrés,France gratuite client
KH-KAI-001-075,75,30,E2_amazon_23x29,47,77,La Poste Lettre Suivie Internationale ≤100g,UE,7.65,0,0,,0.06,,https://www.tarif-lettre.com/tarif-lettre-internationale-2026,2026-05-29,oui partiel,non,4-8 j,Tarif unique monde 2026
KH-KAI-001-075,75,30,E2_amazon_23x29,47,77,Colissimo USA en ligne (PRINCIPAL §1ter),USA,,,,,0.06,,https://www.laposte.fr/,2026-05-29,oui,oui (R+ option),7-15 j,Service prioritaire MVP USA - DDP partiel duties payés upfront expéditeur
KH-KAI-001-075,75,30,E2_amazon_23x29,47,77,Chronopost International USA (fallback §1ter),USA,,0,,,0.06,,https://www.chronopost.fr,2026-05-29,oui,oui,2-5 j,Fallback si Colissimo en ligne inadapté
KH-KAI-001-075,75,30,E2_amazon_23x29,47,77,UPS Worldwide Express Saver (fallback §1ter),USA,,0,,,0.06,,https://www.ups.com,2026-05-29,oui,oui,3-5 j,Fallback si Colissimo en ligne inadapté
