cas,poids_total_g,dim_enveloppe_cm,epaisseur_cm,transporteur,cout_france_eur,cout_ue_eur,cout_usa_eur,suivi_yn,delai_indicatif,remarques
Cas 1 — 1×50 cm — E1,48,18x23,≤ 3 cm (BAL OK Alain),La Poste lettre suivie,,,,,,
Cas 1 — 1×50 cm — E1,48,18x23,≤ 3 cm (BAL OK Alain),Colissimo,,,,,,
Cas 1 — 1×50 cm — E1,48,18x23,≤ 3 cm (BAL OK Alain),Mondial Relay,,,,USA non desservi,
Cas 2 — 2×50 cm — E1,66,18x23,≤ 3 cm (BAL OK Alain),La Poste lettre suivie,,,,,,
Cas 2 — 2×50 cm — E1,66,18x23,≤ 3 cm (BAL OK Alain),Colissimo,,,,,,
Cas 2 — 2×50 cm — E1,66,18x23,≤ 3 cm (BAL OK Alain),Mondial Relay,,,,USA non desservi,
Cas 3 — 1×75 cm — E2,77,23x29,≤ 3 cm (BAL OK Alain),La Poste lettre suivie,,,,,,
Cas 3 — 1×75 cm — E2,77,23x29,≤ 3 cm (BAL OK Alain),Colissimo,,,,,,
Cas 3 — 1×75 cm — E2,77,23x29,≤ 3 cm (BAL OK Alain),Mondial Relay,,,,USA non desservi,
Cas 4 — 1×100 cm — E2,92,23x29,≤ 3 cm (BAL OK Alain),La Poste lettre suivie,,,,,,
Cas 4 — 1×100 cm — E2,92,23x29,≤ 3 cm (BAL OK Alain),Colissimo,,,,,,
Cas 4 — 1×100 cm — E2,92,23x29,≤ 3 cm (BAL OK Alain),Mondial Relay,,,,USA non desservi,
Cas 5 — 3×75 cm — E2,137,23x29,≤ 3 cm (BAL OK Alain),La Poste lettre suivie,,,,,,
Cas 5 — 3×75 cm — E2,137,23x29,≤ 3 cm (BAL OK Alain),Colissimo,,,,,,
Cas 5 — 3×75 cm — E2,137,23x29,≤ 3 cm (BAL OK Alain),Mondial Relay,,,,USA non desservi,
