zone,pays,scenario,produits,poids_produits_g,emballage,poids_total_g,format,transporteur,service,prix_transporteur_reel_eur,prix_affiche_client_propose_eur,marge_interne_eur,source_url,source_checked_at,notes
France,France,F-S1,1 × 50 cm,18,E1,48,BAL ≤ 3 cm,La Poste,Lettre verte suivie ≤ 100 g,3.60,0.00,0,https://www.sfpf.fr/actu/tarif-timbre-2026,2026-05-29,France métropolitaine - livraison offerte ≥ 55 € d'achat - marge absorbée produit
France,France,F-S1,1 × 50 cm,18,E1,48,BAL ≤ 3 cm,Colissimo,Colissimo France ≤ 250 g domicile,5.49,0.00,0,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Fallback si lettre suivie inadaptée - France métropolitaine - livraison offerte ≥ 55 € d'achat
France,France,F-S1,1 × 50 cm,18,E1,48,BAL ≤ 3 cm,Mondial Relay,MR Point Relais France ≤ 500 g,4.40,0.00,0,https://www.mondialrelay.fr/envoi-de-colis/tarifs-expeditions/,2026-05-30,Relevé Alain - à revalider avant config WC Lot 1 - France métropolitaine - livraison offerte ≥ 55 € d'achat
France,France,F-S2,2 × 50 cm,36,E1,66,BAL ≤ 3 cm,La Poste,Lettre verte suivie ≤ 100 g,3.60,0.00,0,https://www.sfpf.fr/actu/tarif-timbre-2026,2026-05-29,France métropolitaine - livraison offerte ≥ 55 € d'achat
France,France,F-S3,1 × 75 cm,30,E2,77,BAL ≤ 3 cm,La Poste,Lettre verte suivie ≤ 100 g,3.60,0.00,0,https://www.sfpf.fr/actu/tarif-timbre-2026,2026-05-29,France métropolitaine - livraison offerte ≥ 55 € d'achat
France,France,F-S4,3 × 75 cm,90,E2,137,BAL ≤ 3 cm,La Poste,Lettre verte suivie ≤ 250 g,5.74,0.00,0,https://www.laposte.fr/tarif-lettre-suivie,2026-05-30,Relevé Alain - France métropolitaine - livraison offerte ≥ 55 € d'achat
France,France,F-S4,3 × 75 cm,90,E2,137,BAL ≤ 3 cm,Colissimo,Colissimo France ≤ 250 g domicile,5.49,0.00,0,https://www.tarif-lettre.com/tarif-colissimo-2026,2026-05-29,Fallback - France métropolitaine - livraison offerte ≥ 55 € d'achat
France,France,F-S5,1 × 100 cm,45,E2,92,BAL ≤ 3 cm,La Poste,Lettre verte suivie ≤ 100 g,3.60,0.00,0,https://www.sfpf.fr/actu/tarif-timbre-2026,2026-05-29,France métropolitaine - livraison offerte ≥ 55 € d'achat
France,France,F-S6,2 × 100 cm,90,E2,137,BAL ≤ 3 cm,La Poste,Lettre verte suivie ≤ 250 g,5.74,0.00,0,https://www.laposte.fr/tarif-lettre-suivie,2026-05-30,Relevé Alain - France métropolitaine - livraison offerte ≥ 55 € d'achat
France,France,F-S7,1 × 75 + 1 × 100 cm,75,E2,122,BAL ≤ 3 cm,La Poste,Lettre verte suivie ≤ 250 g,5.74,0.00,0,https://www.laposte.fr/tarif-lettre-suivie,2026-05-30,Relevé Alain - France métropolitaine - livraison offerte ≥ 55 € d'achat
